Région,Année,Tour,code_departement,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs et nuls,% BlNuls/Ins,% BlNuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,Sexe.1,Nom.1,Prénom.1,Voix.1,% Voix/Ins.1,% Voix/Exp.1
Nouvelle-Aquitaine,2012,2,16,CHARENTE,1,AIGRE,3815,558,14.63,3257,85.37,190,4.98,5.83,3067,80.39,94.17,M,HOLLANDE,François,1678,43.98,54.71,M,SARKOZY,Nicolas,1389,36.41,45.29
Nouvelle-Aquitaine,2012,2,16,CHARENTE,2,ANGOULÊME-EST,8223,1957,23.8,6266,76.2,311,3.78,4.96,5955,72.42,95.04,M,HOLLANDE,François,3550,43.17,59.61,M,SARKOZY,Nicolas,2405,29.25,40.39
Nouvelle-Aquitaine,2012,2,16,CHARENTE,3,ANGOULÊME-NORD,8520,1997,23.44,6523,76.56,348,4.08,5.33,6175,72.48,94.67,M,HOLLANDE,François,3735,43.84,60.49,M,SARKOZY,Nicolas,2440,28.64,39.51
Nouvelle-Aquitaine,2012,2,16,CHARENTE,4,AUBETERRE-SUR-DRONNE,2387,375,15.71,2012,84.29,149,6.24,7.41,1863,78.05,92.59,M,HOLLANDE,François,1036,43.4,55.61,M,SARKOZY,Nicolas,827,34.65,44.39
Nouvelle-Aquitaine,2012,2,16,CHARENTE,5,BAIGNES-SAINTE-RADEGONDE,3260,530,16.26,2730,83.74,210,6.44,7.69,2520,77.3,92.31,M,HOLLANDE,François,1380,42.33,54.76,M,SARKOZY,Nicolas,1140,34.97,45.24
Nouvelle-Aquitaine,2012,2,16,CHARENTE,6,BARBEZIEUX-SAINT-HILAIRE,7540,1288,17.08,6252,82.92,422,5.6,6.75,5830,77.32,93.25,M,HOLLANDE,François,3126,41.46,53.62,M,SARKOZY,Nicolas,2704,35.86,46.38
Nouvelle-Aquitaine,2012,2,16,CHARENTE,7,BLANZAC-PORCHERESSE,6476,1046,16.15,5430,83.85,412,6.36,7.59,5018,77.49,92.41,M,HOLLANDE,François,2896,44.72,57.71,M,SARKOZY,Nicolas,2122,32.77,42.29
Nouvelle-Aquitaine,2012,2,16,CHARENTE,8,BROSSAC,1772,311,17.55,1461,82.45,94,5.3,6.43,1367,77.14,93.57,M,HOLLANDE,François,816,46.05,59.69,M,SARKOZY,Nicolas,551,31.09,40.31
Nouvelle-Aquitaine,2012,2,16,CHARENTE,9,CHABANAIS,6061,1004,16.56,5057,83.44,344,5.68,6.8,4713,77.76,93.2,M,HOLLANDE,François,3140,51.81,66.62,M,SARKOZY,Nicolas,1573,25.95,33.38
Nouvelle-Aquitaine,2012,2,16,CHARENTE,10,CHALAIS,3552,719,20.24,2833,79.76,177,4.98,6.25,2656,74.77,93.75,M,HOLLANDE,François,1479,41.64,55.69,M,SARKOZY,Nicolas,1177,33.14,44.31
Nouvelle-Aquitaine,2012,2,16,CHARENTE,11,CHAMPAGNE-MOUTON,2069,376,18.17,1693,81.83,89,4.3,5.26,1604,77.53,94.74,M,HOLLANDE,François,1039,50.22,64.78,M,SARKOZY,Nicolas,565,27.31,35.22
Nouvelle-Aquitaine,2012,2,16,CHARENTE,12,CHATEAUNEUF-SUR-CHARENTE,6158,1056,17.15,5102,82.85,363,5.89,7.11,4739,76.96,92.89,M,HOLLANDE,François,2505,40.68,52.86,M,SARKOZY,Nicolas,2234,36.28,47.14
Nouvelle-Aquitaine,2012,2,16,CHARENTE,13,COGNAC-NORD,11955,2346,19.62,9609,80.38,588,4.92,6.12,9021,75.46,93.88,M,HOLLANDE,François,4864,40.69,53.92,M,SARKOZY,Nicolas,4157,34.77,46.08
Nouvelle-Aquitaine,2012,2,16,CHARENTE,14,CONFOLENS-NORD,3469,486,14.01,2983,85.99,213,6.14,7.14,2770,79.85,92.86,M,HOLLANDE,François,1796,51.77,64.84,M,SARKOZY,Nicolas,974,28.08,35.16
Nouvelle-Aquitaine,2012,2,16,CHARENTE,15,CONFOLENS-SUD,4774,740,15.5,4034,84.5,275,5.76,6.82,3759,78.74,93.18,M,HOLLANDE,François,2311,48.41,61.48,M,SARKOZY,Nicolas,1448,30.33,38.52
Nouvelle-Aquitaine,2012,2,16,CHARENTE,16,HIERSAC,9624,1510,15.69,8114,84.31,554,5.76,6.83,7560,78.55,93.17,M,HOLLANDE,François,4284,44.51,56.67,M,SARKOZY,Nicolas,3276,34.04,43.33
Nouvelle-Aquitaine,2012,2,16,CHARENTE,17,JARNAC,9760,1702,17.44,8058,82.56,497,5.09,6.17,7561,77.47,93.83,M,HOLLANDE,François,4232,43.36,55.97,M,SARKOZY,Nicolas,3329,34.11,44.03
Nouvelle-Aquitaine,2012,2,16,CHARENTE,18,MANSLE,6698,1064,15.89,5634,84.11,400,5.97,7.1,5234,78.14,92.9,M,HOLLANDE,François,3106,46.37,59.34,M,SARKOZY,Nicolas,2128,31.77,40.66
Nouvelle-Aquitaine,2012,2,16,CHARENTE,19,MONTBRON,5591,776,13.88,4815,86.12,373,6.67,7.75,4442,79.45,92.25,M,HOLLANDE,François,2573,46.02,57.92,M,SARKOZY,Nicolas,1869,33.43,42.08
Nouvelle-Aquitaine,2012,2,16,CHARENTE,20,MONTEMBOEUF,3074,516,16.79,2558,83.21,176,5.73,6.88,2382,77.49,93.12,M,HOLLANDE,François,1424,46.32,59.78,M,SARKOZY,Nicolas,958,31.16,40.22
Nouvelle-Aquitaine,2012,2,16,CHARENTE,21,MONTMOREAU-SAINT-CYBARD,3709,615,16.58,3094,83.42,205,5.53,6.63,2889,77.89,93.37,M,HOLLANDE,François,1619,43.65,56.04,M,SARKOZY,Nicolas,1270,34.24,43.96
Nouvelle-Aquitaine,2012,2,16,CHARENTE,22,LA ROCHEFOUCAULD,14443,2218,15.36,12225,84.64,799,5.53,6.54,11426,79.11,93.46,M,HOLLANDE,François,7029,48.67,61.52,M,SARKOZY,Nicolas,4397,30.44,38.48
Nouvelle-Aquitaine,2012,2,16,CHARENTE,23,ROUILLAC,5839,937,16.05,4902,83.95,319,5.46,6.51,4583,78.49,93.49,M,HOLLANDE,François,2723,46.63,59.42,M,SARKOZY,Nicolas,1860,31.85,40.58
Nouvelle-Aquitaine,2012,2,16,CHARENTE,24,RUFFEC,6425,1094,17.03,5331,82.97,386,6.01,7.24,4945,76.96,92.76,M,HOLLANDE,François,2972,46.26,60.1,M,SARKOZY,Nicolas,1973,30.71,39.9
Nouvelle-Aquitaine,2012,2,16,CHARENTE,25,SAINT-AMANT-DE-BOIXE,7159,1114,15.56,6045,84.44,474,6.62,7.84,5571,77.82,92.16,M,HOLLANDE,François,3228,45.09,57.94,M,SARKOZY,Nicolas,2343,32.73,42.06
Nouvelle-Aquitaine,2012,2,16,CHARENTE,26,SAINT-CLAUD,8431,1497,17.76,6934,82.24,418,4.96,6.03,6516,77.29,93.97,M,HOLLANDE,François,4256,50.48,65.32,M,SARKOZY,Nicolas,2260,26.81,34.68
Nouvelle-Aquitaine,2012,2,16,CHARENTE,27,SEGONZAC,9521,1735,18.22,7786,81.78,512,5.38,6.58,7274,76.4,93.42,M,HOLLANDE,François,3679,38.64,50.58,M,SARKOZY,Nicolas,3595,37.76,49.42
Nouvelle-Aquitaine,2012,2,16,CHARENTE,28,VILLEBOIS-LAVALETTE,5903,864,14.64,5039,85.36,324,5.49,6.43,4715,79.87,93.57,M,HOLLANDE,François,2598,44.01,55.1,M,SARKOZY,Nicolas,2117,35.86,44.9
Nouvelle-Aquitaine,2012,2,16,CHARENTE,29,VILLEFAGNAN,4435,671,15.13,3764,84.87,260,5.86,6.91,3504,79.01,93.09,M,HOLLANDE,François,2049,46.2,58.48,M,SARKOZY,Nicolas,1455,32.81,41.52
Nouvelle-Aquitaine,2012,2,16,CHARENTE,30,LA COURONNE,18520,3381,18.26,15139,81.74,995,5.37,6.57,14144,76.37,93.43,M,HOLLANDE,François,8619,46.54,60.94,M,SARKOZY,Nicolas,5525,29.83,39.06
Nouvelle-Aquitaine,2012,2,16,CHARENTE,31,RUELLE-SUR-TOUVRE,14567,2489,17.09,12078,82.91,746,5.12,6.18,11332,77.79,93.82,M,HOLLANDE,François,7254,49.8,64.01,M,SARKOZY,Nicolas,4078,27.99,35.99
Nouvelle-Aquitaine,2012,2,16,CHARENTE,32,SOYAUX,10238,1981,19.35,8257,80.65,493,4.82,5.97,7764,75.84,94.03,M,HOLLANDE,François,4629,45.21,59.62,M,SARKOZY,Nicolas,3135,30.62,40.38
Nouvelle-Aquitaine,2012,2,16,CHARENTE,33,COGNAC-SUD,12815,2542,19.84,10273,80.16,613,4.78,5.97,9660,75.38,94.03,M,HOLLANDE,François,5466,42.65,56.58,M,SARKOZY,Nicolas,4194,32.73,43.42
